                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.1823,                0.61556,                 1.0133,                0.89106,                0.87493,                0.91078,                0.45653,                 1.7197,                0.85984,                 1.3012,             0.00044373,             0.00044373,             0.00044373
                     93,                 1.1718,                0.60684,                 1.0068,                0.86927,                0.89343,                 0.9178,                0.45915,                 1.7214,                0.84992,                 1.3187,              0.0004364,              0.0004364,              0.0004364
                     94,                 1.1634,                0.60039,                  1.001,                0.87335,                0.85602,                 0.9116,                0.46026,                 1.7166,                 0.8646,                  1.305,             0.00042907,             0.00042907,             0.00042907
                     95,                 1.2173,                0.60701,                 1.0124,                0.90325,                0.84398,                0.92452,                0.46072,                 1.7247,                0.80708,                 1.3254,             0.00042174,             0.00042174,             0.00042174
                     96,                 1.1772,                0.58669,                0.99827,                 0.9055,                   0.83,                 0.9144,                0.46628,                 1.7445,                0.82775,                 1.3272,              0.0004144,              0.0004144,              0.0004144
                     97,                 1.1453,                0.58083,                 1.0004,                0.87756,                0.90099,                0.92827,                0.44921,                 1.7664,                0.87762,                 1.3331,             0.00040707,             0.00040707,             0.00040707
                     98,                 1.1463,                0.58657,                0.99771,                 0.9313,                0.85057,                0.92069,                 0.4589,                 1.7812,                  0.863,                 1.3367,             0.00039974,             0.00039974,             0.00039974
                     99,                 1.1249,                0.58302,                0.98827,                0.89672,                0.86325,                0.92212,                0.45963,                 1.7709,                 0.8543,                 1.3256,             0.00039241,             0.00039241,             0.00039241
                    100,                 1.1245,                0.57739,                0.97938,                0.87055,                 0.8976,                0.91989,                0.46015,                 1.7741,                 0.8827,                  1.314,             0.00038507,             0.00038507,             0.00038507
                    101,                 1.1518,                0.58382,                0.99949,                 0.8867,                0.89629,                0.92032,                0.46084,                 1.7508,                0.83785,                 1.3209,             0.00037774,             0.00037774,             0.00037774
                    102,                  1.145,                0.57791,                0.99225,                0.90625,                 0.8458,                0.91007,                0.46001,                 1.7544,                0.84184,                 1.3375,             0.00037041,             0.00037041,             0.00037041
                    103,                 1.1335,                 0.5643,                0.98692,                0.87597,                 0.8872,                0.92149,                0.46948,                 1.7245,                0.85286,                  1.313,             0.00036307,             0.00036307,             0.00036307
                    104,                 1.1693,                0.59822,                0.99959,                 0.8872,                0.87186,                0.91956,                0.46149,                 1.7273,                0.83741,                 1.3106,             0.00035574,             0.00035574,             0.00035574
                    105,                 1.1044,                 0.5584,                0.98194,                0.86792,                 0.8796,                0.90624,                0.46594,                 1.7377,                0.83575,                 1.3101,             0.00034841,             0.00034841,             0.00034841
                    106,                 1.1083,                0.56354,                0.97543,                 0.9233,                 0.8656,                0.92039,                0.47492,                 1.7584,                0.86273,                 1.3133,             0.00034108,             0.00034108,             0.00034108
                    107,                 1.1034,                0.58497,                 0.9755,                0.89597,                0.86952,                0.91025,                0.45538,                 1.7502,                0.86492,                 1.3215,             0.00033374,             0.00033374,             0.00033374
                    108,                 1.1094,                0.55419,                0.98878,                0.87914,                0.86961,                0.90197,                0.44623,                 1.7572,                0.84449,                 1.3344,             0.00032641,             0.00032641,             0.00032641
                    109,                 1.1026,                0.55276,                0.96998,                0.87992,                0.89083,                0.92169,                0.46556,                 1.7684,                0.84859,                 1.3457,             0.00031908,             0.00031908,             0.00031908
                    110,                 1.0908,                0.55191,                0.98434,                0.88835,                0.90436,                0.92285,                0.46533,                 1.7445,                0.84308,                 1.3307,             0.00031175,             0.00031175,             0.00031175
                    111,                 1.0914,                0.56067,                0.97103,                0.90524,                0.90065,                0.92292,                0.46581,                  1.745,                0.80732,                 1.3252,             0.00030441,             0.00030441,             0.00030441
                    112,                 1.1009,                0.54593,                0.97071,                0.89923,                0.89179,                0.93057,                0.47025,                 1.7214,                 0.8189,                 1.3335,             0.00029708,             0.00029708,             0.00029708
                    113,                 1.0864,                0.54385,                0.96829,                0.90704,                0.86985,                0.92614,                0.46362,                 1.7237,                 0.8467,                 1.3278,             0.00028975,             0.00028975,             0.00028975
                    114,                 1.0697,                0.53613,                0.96276,                0.89989,                0.87442,                0.91981,                0.46267,                 1.7218,                0.83948,                 1.3211,             0.00028242,             0.00028242,             0.00028242
                    115,                 1.0811,                0.54469,                0.97007,                0.90073,                0.88782,                0.92567,                0.46496,                 1.7187,                0.81331,                 1.3272,             0.00027508,             0.00027508,             0.00027508
                    116,                 1.0498,                0.53298,                0.96991,                 0.9168,                 0.8719,                0.92885,                0.46468,                 1.7363,                0.84612,                 1.3381,             0.00026775,             0.00026775,             0.00026775
                    117,                 1.0576,                 0.5397,                0.96003,                0.88976,                0.88892,                0.92709,                0.46581,                 1.7472,                0.82007,                  1.346,             0.00026042,             0.00026042,             0.00026042
                    118,                   1.04,                0.53027,                0.96236,                0.89485,                0.87797,                0.92371,                0.46682,                 1.7236,                0.83661,                 1.3301,             0.00025309,             0.00025309,             0.00025309
                    119,                 1.0584,                0.53035,                0.96201,                0.88708,                 0.8819,                0.90666,                0.46351,                 1.7219,                0.81519,                 1.3315,             0.00024575,             0.00024575,             0.00024575
                    120,                 1.0619,                0.52965,                0.96794,                0.90882,                0.88292,                0.92313,                0.46042,                 1.7491,                0.81915,                 1.3384,             0.00023842,             0.00023842,             0.00023842
                    121,                 1.0629,                0.53715,                0.96015,                0.89397,                 0.8876,                0.92074,                0.46517,                  1.728,                0.86628,                 1.3156,             0.00023109,             0.00023109,             0.00023109
                    122,                 1.0127,                0.60393,                0.93464,                0.88443,                 0.8962,                 0.9267,                0.46804,                 1.7253,                 0.8133,                 1.3298,             0.00022376,             0.00022376,             0.00022376
                    123,                 1.0324,                0.51384,                0.95795,                0.87907,                0.88736,                0.91229,                0.46113,                 1.7277,                0.84379,                 1.3365,             0.00021642,             0.00021642,             0.00021642
                    124,                 1.0446,                0.52645,                0.95986,                0.88466,                0.87424,                 0.9207,                0.46286,                 1.7392,                0.82909,                 1.3424,             0.00020909,             0.00020909,             0.00020909
                    125,                 1.0199,                0.51097,                0.95204,                0.89367,                 0.9035,                0.92703,                0.47045,                 1.7332,                0.82666,                 1.3328,             0.00020176,             0.00020176,             0.00020176
                    126,                 1.0401,                0.51656,                0.94672,                0.91793,                0.89133,                 0.9303,                0.46291,                 1.7484,                0.83695,                 1.3302,             0.00019442,             0.00019442,             0.00019442
                    127,                 1.0107,                0.50951,                0.94253,                0.91765,                0.87344,                0.92034,                0.46341,                 1.7371,                0.84667,                 1.3283,             0.00018709,             0.00018709,             0.00018709
                    128,                 1.0245,                0.51199,                0.94882,                 0.9006,                  0.889,                0.92206,                0.47019,                 1.7298,                0.83791,                 1.3272,             0.00017976,             0.00017976,             0.00017976
                    129,                 1.0086,                0.50699,                0.95002,                0.90218,                0.89859,                0.92438,                0.46439,                 1.7364,                  0.857,                 1.3451,             0.00017243,             0.00017243,             0.00017243
                    130,                 1.0209,                0.52008,                0.95009,                0.88602,                0.89044,                0.91324,                0.45544,                 1.7281,                0.86336,                 1.3374,             0.00016509,             0.00016509,             0.00016509
                    131,                 0.9744,                0.48893,                0.93739,                0.89487,                0.88506,                0.91941,                0.46139,                 1.7433,                0.88211,                 1.3436,             0.00015776,             0.00015776,             0.00015776
                    132,                0.98066,                0.49178,                0.94397,                0.89566,                0.89834,                0.91964,                0.46268,                 1.7249,                0.85342,                 1.3436,             0.00015043,             0.00015043,             0.00015043
                    133,                0.99678,                 0.5084,                 0.9479,                0.88786,                0.88705,                0.91486,                0.46683,                 1.7269,                0.88728,                 1.3353,              0.0001431,              0.0001431,              0.0001431
                    134,                0.98785,                0.49348,                0.93078,                0.89809,                0.89311,                0.91663,                0.46631,                 1.7452,                0.86295,                 1.3562,             0.00013576,             0.00013576,             0.00013576
                    135,                0.98177,                0.50187,                0.94123,                0.90843,                0.90688,                0.92131,                 0.4682,                 1.7512,                0.88059,                 1.3484,             0.00012843,             0.00012843,             0.00012843
                    136,                0.96405,                0.48847,                0.93355,                0.91265,                0.91527,                0.92608,                0.46458,                 1.7461,                 0.8466,                 1.3433,              0.0001211,              0.0001211,              0.0001211
                    137,                 1.0008,                0.50029,                0.94458,                0.90587,                0.89871,                0.91557,                0.45906,                 1.7426,                0.87368,                 1.3482,             0.00011377,             0.00011377,             0.00011377
                    138,                0.98224,                0.49547,                0.93727,                0.89314,                0.89278,                0.91469,                0.46131,                  1.739,                 0.8721,                 1.3452,             0.00010643,             0.00010643,             0.00010643
                    139,                0.98177,                0.49818,                0.93704,                0.88285,                 0.8982,                0.91167,                0.46256,                 1.7352,                0.86023,                 1.3436,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    140,                0.99582,                0.48113,                0.94204,                 0.9011,                0.88792,                0.91112,                0.45483,                 1.7397,                0.85431,                 1.3624,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    141,                0.96718,                0.46545,                0.94429,                0.89798,                0.89711,                0.91311,                0.46259,                 1.7377,                0.86017,                 1.3628,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    142,                 0.9504,                0.46394,                0.92483,                0.88092,                0.91488,                0.91577,                0.46457,                 1.7427,                0.85525,                 1.3589,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    143,                0.90699,                0.44011,                0.91864,                0.88885,                0.90426,                 0.9193,                0.46753,                 1.7497,                0.86463,                 1.3596,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    144,                0.91233,                0.44092,                0.92713,                0.90516,                0.91829,                0.92241,                0.45928,                 1.7409,                0.87575,                 1.3563,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    145,                0.90939,                0.43417,                0.91309,                 0.9063,                 0.9072,                0.92009,                0.45962,                 1.7357,                0.86055,                 1.3524,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    146,                0.92315,                0.44453,                0.92146,                0.90897,                0.91582,                 0.9295,                0.46577,                  1.732,                0.85176,                 1.3522,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    147,                0.90173,                0.43801,                0.91857,                0.90276,                0.90574,                0.92209,                0.45901,                 1.7326,                  0.856,                 1.3567,              4.044e-05,              4.044e-05,              4.044e-05
                    148,                0.91513,                0.43943,                0.93388,                0.91576,                 0.9064,                0.92018,                0.46273,                 1.7309,                0.87262,                 1.3511,             3.3108e-05,             3.3108e-05,             3.3108e-05
