                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.4122,                0.75581,                  1.042,                0.85402,                0.87204,                0.88933,                0.43343,                 1.7272,                0.85407,                 1.1876,             0.00053906,             0.00053906,             0.00053906
                     80,                 1.3954,                0.75321,                 1.0405,                 0.8872,                0.83357,                0.89205,                0.42658,                 1.7337,                0.84285,                 1.1839,             0.00053172,             0.00053172,             0.00053172
                     81,                 1.3832,                0.74556,                 1.0449,                0.84699,                0.86008,                0.88374,                0.42522,                 1.7841,                0.88844,                 1.2188,             0.00052439,             0.00052439,             0.00052439
                     82,                 1.3937,                0.74817,                 1.0538,                0.84978,                0.85773,                0.86529,                0.40837,                 1.7766,                0.85467,                 1.2283,             0.00051706,             0.00051706,             0.00051706
                     83,                 1.3663,                0.72948,                 1.0303,                 0.9015,                0.85518,                0.87099,                0.42872,                 1.7465,                0.80609,                 1.1934,             0.00050973,             0.00050973,             0.00050973
                     84,                 1.3819,                0.73214,                 1.0322,                0.87404,                0.83704,                0.88669,                0.42704,                  1.797,                0.84584,                  1.221,             0.00050239,             0.00050239,             0.00050239
                     85,                 1.3949,                0.74962,                 1.0386,                0.89518,                0.80178,                0.87358,                0.40669,                 1.7909,                0.87245,                 1.2152,             0.00049506,             0.00049506,             0.00049506
                     86,                 1.3636,                0.74204,                 1.0253,                0.90621,                0.85322,                0.89386,                0.42324,                  1.777,                0.83571,                 1.2046,             0.00048773,             0.00048773,             0.00048773
                     87,                 1.3375,                0.72552,                 1.0091,                0.88306,                0.83883,                0.89467,                0.42903,                 1.7792,                0.84906,                 1.2249,              0.0004804,              0.0004804,              0.0004804
                     88,                 1.3522,                0.71429,                 1.0241,                0.92774,                  0.825,                0.89359,                0.42005,                 1.7676,                0.83477,                 1.2048,             0.00047306,             0.00047306,             0.00047306
                     89,                 1.3789,                0.74863,                 1.0318,                0.88046,                0.83652,                0.89832,                0.42854,                 1.7779,                0.86713,                 1.2303,             0.00046573,             0.00046573,             0.00046573
                     90,                 1.3567,                 0.7206,                 1.0252,                0.85701,                0.81817,                0.87322,                0.42331,                 1.7396,                0.83704,                 1.2073,              0.0004584,              0.0004584,              0.0004584
                     91,                 1.3622,                0.72946,                 1.0239,                0.88923,                 0.8338,                0.87677,                 0.4314,                 1.7808,                0.85134,                 1.2273,             0.00045107,             0.00045107,             0.00045107
                     92,                 1.3604,                 0.7303,                 1.0307,                0.85433,                0.85922,                0.88918,                0.43255,                  1.742,                0.83699,                 1.1958,             0.00044373,             0.00044373,             0.00044373
                     93,                 1.3404,                0.71491,                 1.0171,                0.83855,                0.86639,                0.89253,                0.42911,                 1.7323,                0.82958,                 1.1874,              0.0004364,              0.0004364,              0.0004364
                     94,                 1.3524,                0.72218,                 1.0181,                0.90659,                0.84524,                0.88531,                0.42527,                 1.7552,                0.85427,                 1.2202,             0.00042907,             0.00042907,             0.00042907
                     95,                 1.3791,                0.72717,                 1.0298,                0.88136,                0.86367,                0.87595,                 0.4384,                 1.7555,                0.81878,                 1.2042,             0.00042174,             0.00042174,             0.00042174
                     96,                 1.3274,                0.68912,                 1.0102,                0.87147,                0.87306,                0.88465,                0.43504,                 1.7794,                0.85741,                 1.2106,              0.0004144,              0.0004144,              0.0004144
                     97,                 1.3125,                0.69757,                 1.0159,                0.87258,                0.84668,                0.86801,                0.42714,                 1.7631,                0.82436,                 1.2101,             0.00040707,             0.00040707,             0.00040707
                     98,                 1.3136,                0.69774,                 1.0137,                0.86686,                0.84787,                0.88479,                 0.4336,                 1.7458,                0.84237,                  1.214,             0.00039974,             0.00039974,             0.00039974
                     99,                 1.3037,                0.69179,                 1.0104,                0.88994,                0.84994,                0.88458,                0.42198,                 1.7841,                0.86435,                 1.2234,             0.00039241,             0.00039241,             0.00039241
                    100,                 1.3036,                0.68997,                 1.0042,                0.88103,                0.86672,                0.89761,                   0.43,                 1.7707,                0.86987,                 1.2144,             0.00038507,             0.00038507,             0.00038507
                    101,                 1.3068,                 0.6879,                 1.0145,                0.88791,                0.87743,                0.90573,                0.43789,                  1.761,                0.83041,                 1.2119,             0.00037774,             0.00037774,             0.00037774
                    102,                  1.315,                0.68884,                 1.0102,                0.86316,                0.87779,                0.90227,                0.43024,                 1.7663,                0.81447,                  1.205,             0.00037041,             0.00037041,             0.00037041
                    103,                 1.3156,                0.68986,                  1.009,                   0.87,                0.83826,                 0.8762,                 0.4278,                 1.7507,                 0.8124,                 1.2019,             0.00036307,             0.00036307,             0.00036307
                    104,                  1.316,                0.70819,                 1.0194,                 0.8484,                0.85242,                0.89268,                0.43379,                 1.7709,                0.84202,                 1.2169,             0.00035574,             0.00035574,             0.00035574
                    105,                 1.2822,                0.66769,                 1.0031,                0.86203,                0.85561,                0.88987,                0.42236,                 1.7796,                0.88692,                 1.2225,             0.00034841,             0.00034841,             0.00034841
                    106,                 1.2901,                0.68075,                 1.0037,                0.86837,                0.87795,                0.89121,                0.42349,                 1.7974,                0.83964,                 1.2276,             0.00034108,             0.00034108,             0.00034108
                    107,                 1.2995,                0.69007,                 1.0066,                0.86568,                0.86026,                0.88452,                0.42248,                 1.7568,                0.83371,                 1.2094,             0.00033374,             0.00033374,             0.00033374
                    108,                   1.28,                0.67055,                 1.0099,                0.84294,                 0.8243,                0.86212,                0.41438,                 1.7819,                0.85379,                 1.2161,             0.00032641,             0.00032641,             0.00032641
                    109,                 1.2874,                0.67961,                0.99602,                0.84483,                0.83729,                0.87808,                0.42538,                 1.7825,                 0.8306,                  1.216,             0.00031908,             0.00031908,             0.00031908
                    110,                  1.274,                 0.6654,                  1.005,                 0.8612,                0.85607,                0.87208,                0.43566,                 1.7398,                0.86208,                 1.2086,             0.00031175,             0.00031175,             0.00031175
                    111,                 1.2904,                0.67554,                  1.014,                0.89244,                0.86588,                   0.91,                0.43752,                 1.7707,                0.81665,                 1.2205,             0.00030441,             0.00030441,             0.00030441
                    112,                 1.2726,                0.65198,                0.99151,                0.89606,                0.87106,                0.90245,                0.43372,                 1.7888,                0.82157,                 1.2288,             0.00029708,             0.00029708,             0.00029708
                    113,                 1.2738,                 0.6615,                0.99389,                0.87376,                0.87738,                0.88811,                0.42639,                  1.772,                0.83597,                 1.2261,             0.00028975,             0.00028975,             0.00028975
                    114,                 1.2586,                0.65877,                0.98874,                0.88503,                0.88733,                0.90476,                0.43586,                 1.7704,                0.83084,                 1.2148,             0.00028242,             0.00028242,             0.00028242
                    115,                 1.2599,                0.65293,                0.99445,                0.87963,                0.86843,                0.89367,                0.44864,                 1.7589,                0.82501,                 1.2101,             0.00027508,             0.00027508,             0.00027508
                    116,                 1.2413,                 0.6583,                0.99704,                0.87838,                0.88261,                 0.8975,                0.44081,                 1.7618,                0.83864,                 1.2144,             0.00026775,             0.00026775,             0.00026775
                    117,                 1.2674,                0.66217,                0.99569,                0.86232,                0.85982,                0.87818,                0.42275,                  1.751,                0.83953,                 1.2114,             0.00026042,             0.00026042,             0.00026042
                    118,                 1.2332,                0.63838,                0.98609,                0.87972,                0.86989,                0.89825,                0.43056,                 1.7586,                0.81403,                 1.2056,             0.00025309,             0.00025309,             0.00025309
                    119,                 1.2496,                 0.6462,                0.99009,                0.88121,                0.90287,                0.92041,                0.44414,                 1.7554,                0.83139,                 1.2129,             0.00024575,             0.00024575,             0.00024575
                    120,                 1.2512,                0.64416,                0.99348,                0.87346,                0.86536,                0.90103,                0.43759,                 1.7266,                0.84923,                 1.1952,             0.00023842,             0.00023842,             0.00023842
                    121,                 1.2543,                0.64886,                0.98772,                0.91097,                0.88528,                0.92955,                 0.4472,                 1.7536,                0.82781,                 1.2031,             0.00023109,             0.00023109,             0.00023109
